Analysis,N,Events,DSI OR,95% CI,AUC (Baseline),AUC (Baseline+DSI),ΔAUC,Key Finding
Primary model (no surgery),5728,1141,2.18,1.79-2.65,0.785,0.790,0.005,DSI independent predictor after SOFA adjustment
Alternative model (with surgery),5728,1141,2.25,1.85-2.74,0.787,0.792,0.005,Surgery protective (OR=0.68) but survivorship bias
Surgery ≤24h model,5728,1141,2.18,1.79-2.65,0.786,0.790,0.005,surgery_24h non-significant (OR=0.88 P=0.46)
Parsimonious (no vasopressor/MV),5728,1141,2.22,1.82-2.69,0.784,0.789,0.005,Vasopressor/MV redundant after SOFA
Excluding Other subtype,4016,852,2.22,1.77-2.79,0.786,0.788,0.002,DSI robust without heterogeneous Other group
Non-surgical subgroup,1877,435,2.65,2.00-3.51,0.822,0.826,0.004,Best performance in non-surgical patients
Multiple imputation (N=8933),8933,1141,2.65,2.18-3.22,0.822,0.827,0.005,Addresses CC selection bias
Bootstrap validation (200 resamples),5728,1141,2.18,1.79-2.65,0.785,0.790,0.005,Optimism=0.002 corrected AUC=0.788
eICU external validation,5755,1152,2.41,2.00-2.90,0.785,0.792,0.007,208 hospitals ΔAUC DeLong P=0.003
Inflammation subtype,2150,316,2.34,1.70-3.22,0.819,0.819,<0.001,DSI confirmed in largest subtype
Obstruction subtype,1184,210,2.02,1.32-3.07,0.749,0.749,<0.001,Lower baseline AUC in obstruction
Ischemia subtype,353,143,1.82,1.02-3.22,0.807,0.807,<0.001,High mortality (40.5%)
Perforation subtype,332,89,2.08,1.06-4.07,0.766,0.766,<0.001,Smallest subgroup
