Characteristic,"Overall (N=5,728)","Q1 (Low, n=1,432)","Q2 (n=1,432)","Q3 (n=1,432)","Q4 (High, n=1,432)"
"Age, years",68.0 [57.0-79.0],66.0 [55.0-78.0],68.0 [57.0-79.0],69.0 [58.0-80.0],69.0 [56.0-80.0]
"Male, n (%)",3206 (56.0%),897 (62.6%),800 (55.9%),796 (55.6%),713 (49.8%)
CCI,3.0 [1.0-5.0],3.0 [1.0-5.0],3.0 [1.0-5.0],3.0 [1.0-5.0],3.0 [1.0-5.0]
"SOFA score",7.0 [4.0-11.0],6.0 [3.0-9.0],7.0 [4.0-10.0],8.0 [5.0-11.0],10.0 [6.0-13.0]
"Lactate, mmol/L",2.0 [1.3-3.2],1.7 [1.2-2.7],1.9 [1.2-2.9],2.0 [1.4-3.3],2.6 [1.5-4.1]
"WBC, ×10⁹/L",11.6 [7.5-16.9],10.4 [7.0-15.1],11.4 [7.6-16.2],12.2 [7.8-17.9],12.2 [7.4-18.8]
"Vasopressor use, n (%)",2498 (43.6%),395 (27.6%),562 (39.2%),678 (47.3%),863 (60.3%)
"Surgery, n (%)",3863 (67.4%),867 (60.5%),926 (64.7%),1009 (70.5%),1061 (74.1%)
"Mechanical ventilation, n (%)",3007 (52.5%),601 (42.0%),705 (49.2%),799 (55.8%),902 (63.0%)
"ICU LOS, days",2.7 [1.5-5.8],2.1 [1.2-4.1],2.6 [1.5-5.1],2.9 [1.6-6.2],3.4 [1.8-8.0]
"In-hospital mortality, n (%)",1141 (19.9%),173 (12.1%),208 (14.5%),291 (20.3%),469 (32.8%)
"ICU mortality, n (%)",758 (13.2%),94 (6.6%),109 (7.6%),186 (13.0%),369 (25.8%)
"Subtype: Inflammation, n (%)",2149 (37.5%),615 (42.9%),537 (37.5%),519 (36.2%),478 (33.4%)
"Subtype: Obstruction, n (%)",1180 (20.6%),245 (17.1%),304 (21.2%),307 (21.4%),324 (22.6%)
"Subtype: Perforation, n (%)",334 (5.8%),40 (2.8%),60 (4.2%),92 (6.4%),142 (9.9%)
"Subtype: Ischemia, n (%)",353 (6.2%),64 (4.5%),56 (3.9%),89 (6.2%),144 (10.1%)
"Subtype: Other, n (%)",1712 (29.9%),468 (32.7%),475 (33.2%),425 (29.7%),344 (24.0%)
