Variable,Beta,SE,OR,95% CI lower,95% CI upper,P
const,-6.2703,0.2793,0.002,0.001,0.003,1.37e-111
age_at_admission,0.0209,0.0026,1.021,1.016,1.026,1.31e-15
gender,-0.1400,0.0762,0.869,0.749,1.009,0.066
CCI,0.1306,0.0125,1.139,1.112,1.168,1.43e-25
lactate_first,0.1317,0.0143,1.141,1.109,1.173,2.85e-20
wbc_first,0.0061,0.0031,1.006,1.000,1.012,0.049
vasopressor_use,0.1245,0.0906,1.133,0.948,1.353,0.169
any_surgery,-0.3898,0.0804,0.677,0.578,0.793,1.24e-06
mechanical_ventilation,0.1109,0.1009,1.117,0.917,1.362,0.272
sofa,0.1507,0.0119,1.163,1.136,1.190,1.66e-36
DSI,0.8179,0.1007,2.266,1.860,2.760,4.53e-16
