Variable,Beta,SE,OR,95% CI Lower,95% CI Upper,P-value
Age (per year),0.0209,0.0026,1.021,1.016,1.026,1.26e-15
Gender (male vs female),-0.1402,0.0762,0.869,0.749,1.009,0.066
CCI (per point),0.1305,0.0125,1.139,1.112,1.168,1.53e-25
Lactate (per mmol/L),0.1316,0.0143,1.141,1.109,1.173,2.82e-20
WBC (per 10^9/L),0.0061,0.0031,1.006,1.000,1.012,0.049
Vasopressor use,0.1252,0.0906,1.133,0.949,1.354,0.167
Surgery (during hospitalization),-0.3863,0.0804,0.680,0.581,0.796,1.54e-06
Mechanical ventilation,0.109,0.1009,1.115,0.915,1.359,0.280
SOFA (per point),0.1508,0.0119,1.163,1.136,1.190,1.42e-36
DSI (mean 24h),0.8102,0.1006,2.248,1.846,2.739,8.29e-16
