Variable,Survived (n=6045),Died (n=959),P value
Age (years),68.0 (57.0-79.0),69.0 (59.0-80.0),0.0205
Heart Rate (first),89.0 (77.0-103.0),92.0 (79.0-106.0),0.0048
"SBP (first, mmHg)",117.0 (103.0-133.0),110.0 (97.0-126.0),<0.001
"DBP (first, mmHg)",64.0 (55.0-75.0),61.0 (52.0-71.5),<0.001
"MAP (first, mmHg)",78.0 (69.0-89.0),74.0 (66.0-85.0),<0.001
Shock Index (first),0.8 (0.6-0.9),0.8 (0.7-1.0),<0.001
Modified Shock Index (first),1.1 (1.0-1.3),1.2 (1.0-1.4),<0.001
Diastolic Shock Index (first),1.4 (1.2-1.6),1.5 (1.3-1.8),<0.001
Age-adjusted SI (first),5.0 (4.1-6.1),5.6 (4.5-6.7),<0.001
Shock Index (worst),0.9 (0.8-1.1),1.0 (0.9-1.2),<0.001
Modified Shock Index (worst),1.4 (1.2-1.6),1.5 (1.3-1.8),<0.001
Diastolic Shock Index (worst),1.8 (1.5-2.1),2.0 (1.6-2.3),<0.001
Charlson Comorbidity Index,2.0 (1.0-4.0),4.0 (2.0-7.0),<0.001
ICU LOS (days),2.0 (1.2-3.8),3.3 (1.5-7.7),<0.001
Gender - M,3394 (56.1%),553 (57.7%),0.3976
Gender - F,2651 (43.9%),406 (42.3%),0.3976
Abdomen Subtype - inflammation,2513 (41.6%),319 (33.3%),<0.001
Abdomen Subtype - other,2067 (34.2%),248 (25.9%),<0.001
Abdomen Subtype - obstruction,1038 (17.2%),224 (23.4%),<0.001
Abdomen Subtype - perforation,236 (3.9%),66 (6.9%),<0.001
Abdomen Subtype - ischemia,191 (3.2%),102 (10.6%),<0.001
