Metric,AUC_base,AUC_new,AUC_diff,NRI_events,NRI_nonevents,NRI_total,IDI,IDI_Z,IDI_P
SI (first),0.6479561957546417,0.6701751117574052,0.02221891600276349,0.05213764337851931,-0.007609594706368905,0.044528048672150405,0.011678821195696326,7.358083627015996,1.865174681370263e-13
SI (max),0.6479561957546417,0.6873694941742976,0.03941329841965591,0.050052137643378514,0.016377171215880892,0.0664293088592594,0.02266082897359964,9.99490909328642,0.0
SI (mean 24h),0.6479561957546417,0.6949879725486034,0.047031776793961755,0.09384775808133473,0.04598842018196857,0.1398361782633033,0.02954820169707187,11.421452773079737,0.0
MSI (first),0.6479561957546417,0.6642682488220515,0.016312053067409793,0.047966631908237745,-0.011910669975186097,0.03605596193305165,0.00899121113213433,6.674303614536078,2.4840796086778028e-11
MSI (max),0.6479561957546417,0.6808896777816015,0.03293348202695978,0.054223149113660066,0.011414392059553344,0.06563754117321341,0.019952634326450613,9.712823745029622,0.0
MSI (mean 24h),0.6479561957546417,0.6906256603454625,0.04266946459082077,0.08550573514077163,0.03953680727874277,0.1250425424195144,0.02768855821096175,11.257034334765041,0.0
DSI (first),0.6479561957546417,0.6642358191216208,0.01627962336697908,0.0448383733055266,-0.016046319272125728,0.02879205403340087,0.008674148523401898,6.457422600525007,1.0650125226163709e-10
DSI (max),0.6479561957546417,0.676001159189292,0.02804496343465035,0.05213764337851928,0.0006617038875103426,0.052799347266029625,0.017868558000299822,9.184947815467908,0.0
DSI (mean 24h),0.6479561957546417,0.6920689545130325,0.044112758758390824,0.1032325338894682,0.044830438378825485,0.14806297226829368,0.028532601727666,11.484968486515234,0.0
Age-SI (first),0.6479561957546417,0.6693621267673538,0.021405931012712154,0.039624608967674654,-0.012406947890818865,0.02721766107685579,0.010730142041457641,7.0019803390617925,2.523758979577906e-12
Age-SI (max),0.6479561957546417,0.6875090453851933,0.03955284963055161,0.0521376433785193,0.00463192721257237,0.05676957059109167,0.022035114315438697,9.848847725559656,0.0
Age-SI (mean 24h),0.6479561957546417,0.6944979045756065,0.046541708820964756,0.08654848800834203,0.028784119106699743,0.11533260711504177,0.028749561849871014,11.128968826376223,0.0
