Subtype,Metric,AUC,N,Deaths
perforation,DSI,0.6157550077041603,302,66
obstruction,DSI,0.5923178158546656,1262,224
other,DSI,0.616232228412691,2315,248
perforation,MSI,0.5921931176168466,302,66
obstruction,MSI,0.6017861443710433,1262,224
other,MSI,0.6180162148664887,2315,248
perforation,Age-SI,0.594632768361582,302,66
obstruction,Age-SI,0.576561639829342,1262,224
other,Age-SI,0.6415718588573123,2315,248
perforation,SI,0.5423728813559322,302,66
obstruction,SI,0.5931758360858795,1262,224
other,SI,0.6319486711300466,2315,248
