Section,Item,Requirement,Addressed
Title & Abstract,Item 1a,Indicate the study design with a commonly used term in the title or abstract,"Yes - ""Retrospective cohort study"" in title"
Title & Abstract,Item 1b,Provide in the abstract a summary of what was done and what was found,Yes - Structured abstract with methods and key results
Background,Item 2,Explain the scientific background and rationale for the investigation being reported,Yes - SI derivatives studied in trauma/sepsis but not acute abdomen
Objectives,Item 3,"State specific objectives, including any prespecified hypotheses",Yes - Compare SI/MSI/DSI/Age-SI for ICU mortality prediction
Study Design,Item 4,Present key elements of study design early in the paper,"Yes - Retrospective cohort, MIMIC-IV"
Setting,Item 5a,"Describe the setting, locations, and relevant dates","Yes - MIMIC-IV v3.1, 2008-2022, single academic medical center"
Participants,Item 6a,"Give eligibility criteria, and sources/methods of case selection","Yes - ICD codes for acute abdomen, ED registration, age≥18, ICU admission"
Participants,Item 6b,Give reasons for non-participation at each stage,Yes - Flowchart with exclusion counts
Participants,Item 6c,Consider use of a flow diagram,Yes - Figure 1 flowchart
Variables,Item 7a,"Clearly define all outcomes, exposures, predictors","Yes - ICU mortality, SI/MSI/DSI/Age-SI definitions provided"
Variables,Item 7b,"Clearly define confounders, effect modifiers","Yes - Age, sex, CCI, lactate, vasopressor, surgery"
Data Sources,Item 8a,"For each variable, describe sources of data and methods of assessment",Yes - MIMIC-IV tables specified
Bias,Item 9,Describe any efforts to address potential sources of bias,"Yes - 24h mean vs first measurement, BP priority hierarchy"
Study Size,Item 10,Explain how the study size was arrived at,Yes - All eligible ICU patients included
Quantitative Variables,Item 11,Explain how quantitative variables were handled in analyses,"Yes - Mean 24h values, quartile grouping"
Statistical Methods,Item 12a,Describe all statistical methods,"Yes - Logistic regression, ROC/AUC, NRI/IDI, DCA, RCS, KM"
Statistical Methods,Item 12b,Describe methods for controlling confounding,"Yes - Multivariable regression, extended covariates"
Statistical Methods,Item 12c,Describe methods for subgroup/interaction analyses,Yes - Stratified by subtype
Statistical Methods,Item 12d,Explain how missing data were addressed,Yes - Complete case analysis with coverage reported
Participants,Item 13a,Report numbers at each stage,Yes - Flowchart
Participants,Item 13b,Give reasons for non-participation,Yes - Exclusion criteria listed
Participants,Item 13c,Consider use of a flow diagram,Yes - Figure 1
Descriptive Data,Item 14a,Give characteristics of study participants,Yes - Table 1 by outcome and by DSI quartile
Outcome Data,Item 15a,Report numbers of outcome events,Yes - ICU death 13.7%
Main Results,Item 16a,Give unadjusted and adjusted estimates,Yes - Tables 2-8
Main Results,Item 16b,Report category boundaries when continuous variables were categorized,Yes - Quartile definitions provided
Main Results,Item 16c,"If relevant, consider translating estimates to meaningful measures","Yes - NRI/IDI, DCA net benefit"
Other Analyses,Item 17,"Report other analyses (sensitivity, subgroup)","Yes - Sensitivity analyses, subtype-specific"
Key Results,Item 18,Summarize key results with reference to study objectives,Yes
Limitations,Item 19,"Discuss limitations (potential bias, imprecision)","Yes - Single center, retrospective, moderate AUC"
Interpretation,Item 20,Give a cautious overall interpretation,"Yes - DSI best predictor, especially in ischemic subtype"
Generalizability,Item 21,Discuss generalizability (external validity),Yes - MIMIC-IV limitations discussed
Funding,Item 22,Give source of funding and role of funders,Yes - MIMIC-IV is publicly funded
